Book Name,Author,Rating,Customers_Rated,Price
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,Adam Schiff,0,0,$25.49
State of Terror: A Novel,Louise Penny,4.0 out of 5 stars,1,$20.99
The Storyteller: Tales of Life and Music,Dave Grohl,4.8 out of 5 stars,109,$19.14
Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8 out of 5 stars,"3,480",$4.78
Little Blue Truck's Halloween,Alice Schertle,4.9 out of 5 stars,"7,407",$7.86
The Complete Calvin and Hobbes [Box Set],Bill Watterson,4.9 out of 5 stars,"9,135",$100.99
It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"33,966",$9.47
The Lincoln Highway: A Novel,Amor Towles,4.6 out of 5 stars,135,$20.37
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"55,615",$4.44
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"53,705",$11.98
Spooky Pookie (Little Pookie),Sandra Boynton,4.9 out of 5 stars,"4,774",$3.73
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"40,591",$5.06
"The Dying Citizen: How Progressive Elites, Tribalism, and Globalization Are Destroying the Idea of America",Victor Davis Hanson,4.3 out of 5 stars,25,$20.93
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"41,816",$4.28
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"36,826",$11.40
There Is Nothing for You Here: Finding Opportunity in the Twenty-First Century,Fiona Hill,4.5 out of 5 stars,15,$19.03
Big Shot Diary of a Wimpy Kid Book 16,Jeff Kinney,0,0,$10.49
Peril,Bob Woodward,4.5 out of 5 stars,"4,499",$18.00
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"60,861",$4.40
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"66,129",$5.77
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6 out of 5 stars,"31,542",$9.42
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.8 out of 5 stars,"1,256",$17.99
The Last Thing He Told Me: A Novel,Laura Dave,4.3 out of 5 stars,"44,715",$12.92
Cloud Cuckoo Land: A Novel,Anthony Doerr,4.6 out of 5 stars,403,$18.57
"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom",Tabitha Brown,4.9 out of 5 stars,240,$16.79
Room on the Broom,Julia Donaldson,4.9 out of 5 stars,"28,213",$7.16
Paint by Sticker Kids: Halloween: Create 10 Pictures One Sticker at a Time! Includes Glow-in-the-Dark Stickers,Workman Publishing,4.8 out of 5 stars,"1,607",$7.57
Apples Never Fall,Liane Moriarty,4.3 out of 5 stars,"6,895",$17.39
American Marxism,Mark R. Levin,4.9 out of 5 stars,"16,820",$16.74
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul…",Snoop Dogg,4.8 out of 5 stars,"19,806",$12.74
The Wish,Nicholas Sparks,4.8 out of 5 stars,"1,823",$15.99
Taste: My Life Through Food,Stanley Tucci,4.7 out of 5 stars,31,$18.43
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,"84,956",$12.00
The Spooky Wheels on the Bus,J. Elizabeth Mills,4.8 out of 5 stars,"4,670",$3.99
Halloween Hidden Pictures® Puzzles to Highlight (Highlights™ Hidden Pictures® Puzzles to Highlight Activity Books),Highlights,4.6 out of 5 stars,"1,163",$5.69
The Wonderful Things You Will Be,Emily Winfield Martin,4.9 out of 5 stars,"17,590",$8.55
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"34,323",$5.36
Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,4.4 out of 5 stars,"1,122",$18.00
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Joshua Weissman,4.9 out of 5 stars,"1,554",$17.99
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876",Bret Baier,0,0,$22.99
Flash Cards: Sight Words,Scholastic Teacher Resources,4.8 out of 5 stars,"10,798",$2.88
The High 5 Habit: Take Control of Your Life with One Simple Habit,Mel Robbins,4.9 out of 5 stars,192,$16.49
Dragons Love Tacos,Adam Rubin,4.7 out of 5 stars,"11,553",$8.95
"World of Eric Carle, Hear Bear Roar 30-Button Animal Sound Book - Great for First Words - PI Kids",Editors of Phoenix International,4.8 out of 5 stars,"8,465",$10.99
The Ex Hex,Erin Sterling,4.1 out of 5 stars,342,$13.79
Ugly Love: A Novel,Colleen Hoover,4.7 out of 5 stars,"14,818",$10.19
"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing…",School Zone,4.8 out of 5 stars,"55,267",$5.99
"Dune (Dune Chronicles, Book 1)",Frank Herbert,4.7 out of 5 stars,"35,362",$12.01
The Judge's List: A Novel,John Grisham,0,0,$18.70
"The Bad Seed Presents: The Good, the Bad, and the Spooky (The Food Group)",Jory John,4.8 out of 5 stars,292,$9.09
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"31,012",$14.99
Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,4.9 out of 5 stars,"14,500",$6.62
Pop-Up Peekaboo! Pumpkin: Pop-Up Surprise Under Every Flap!,DK,4.9 out of 5 stars,"1,160",$4.84
Where's Spot?,Eric Hill,4.8 out of 5 stars,"22,209",$4.98
"The Truth About COVID-19: Exposing The Great Reset, Lockdowns, Vaccine Passports, and the New Normal",Doctor Joseph Mercola,4.7 out of 5 stars,"3,274",$14.99
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie Land,4.2 out of 5 stars,"2,053",$9.64
